SEQN,OCD150,OCQ180,OCQ210,OCQ260,OCD270,OCQ380,OCD390G,OCD395
73557.0,4.0,nan,nan,nan,nan,3.0,1.0,204.0
73558.0,1.0,50.0,nan,1.0,420.0,nan,2.0,nan
73559.0,4.0,nan,nan,nan,nan,3.0,1.0,216.0
73561.0,4.0,nan,nan,nan,nan,4.0,1.0,372.0
73562.0,1.0,56.0,nan,2.0,372.0,nan,2.0,nan
73564.0,4.0,nan,nan,nan,nan,3.0,1.0,324.0
73565.0,1.0,40.0,nan,1.0,192.0,nan,2.0,nan
73566.0,1.0,38.0,nan,1.0,84.0,nan,2.0,nan
73567.0,1.0,20.0,2.0,1.0,36.0,nan,1.0,144.0
73568.0,1.0,40.0,nan,3.0,24.0,nan,2.0,nan
73571.0,4.0,nan,nan,nan,nan,3.0,1.0,420.0
73574.0,4.0,nan,nan,nan,nan,1.0,1.0,72.0
73576.0,4.0,nan,nan,nan,nan,2.0,4.0,nan
73577.0,1.0,20.0,2.0,1.0,6.0,nan,2.0,nan
73578.0,4.0,nan,nan,nan,nan,2.0,1.0,0.0
73580.0,1.0,70.0,nan,1.0,12.0,nan,2.0,nan
73581.0,1.0,40.0,nan,1.0,36.0,nan,2.0,nan
73582.0,1.0,40.0,nan,1.0,1.0,nan,1.0,24.0
73585.0,1.0,40.0,nan,1.0,18.0,nan,1.0,96.0
73589.0,1.0,42.0,nan,1.0,12.0,nan,2.0,nan
73592.0,1.0,42.0,nan,1.0,12.0,nan,1.0,36.0
73594.0,3.0,nan,nan,nan,nan,nan,1.0,60.0
73595.0,1.0,40.0,nan,1.0,72.0,nan,1.0,168.0
73596.0,2.0,nan,1.0,1.0,48.0,nan,1.0,216.0
73597.0,4.0,nan,nan,nan,nan,4.0,1.0,120.0
73598.0,4.0,nan,nan,nan,nan,7.0,1.0,2.0
73600.0,1.0,36.0,nan,5.0,24.0,nan,2.0,nan
73603.0,1.0,40.0,nan,1.0,120.0,nan,2.0,nan
73604.0,4.0,nan,nan,nan,nan,3.0,1.0,120.0
73606.0,3.0,nan,nan,nan,nan,nan,1.0,132.0
73607.0,4.0,nan,nan,nan,nan,3.0,1.0,300.0
73610.0,4.0,nan,nan,nan,nan,3.0,3.0,252.0
73613.0,1.0,40.0,nan,1.0,168.0,nan,2.0,nan
73614.0,4.0,nan,nan,nan,nan,4.0,1.0,36.0
73615.0,4.0,nan,nan,nan,nan,4.0,1.0,24.0
73616.0,1.0,35.0,nan,1.0,288.0,nan,2.0,nan
73618.0,1.0,45.0,nan,1.0,9.0,nan,2.0,nan
73619.0,1.0,21.0,1.0,1.0,96.0,nan,2.0,nan
73621.0,4.0,nan,nan,nan,nan,3.0,1.0,336.0
73622.0,4.0,nan,nan,nan,nan,3.0,1.0,408.0
73623.0,1.0,60.0,nan,1.0,60.0,nan,2.0,nan
73624.0,4.0,nan,nan,nan,nan,6.0,1.0,3.0
73626.0,4.0,nan,nan,nan,nan,3.0,1.0,168.0
73628.0,4.0,nan,nan,nan,nan,3.0,1.0,480.0
73629.0,1.0,40.0,nan,1.0,96.0,nan,2.0,nan
73631.0,1.0,12.0,1.0,1.0,6.0,nan,2.0,nan
73632.0,1.0,54.0,nan,1.0,24.0,nan,2.0,nan
