RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
a10061,BILE SALTS; PANCREATIN; PEPSIN,2.0,87.0,96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,91.0,nan,87.0,92.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,MISCELLANEOUS GI AGENTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,DIGESTIVE ENZYMES,,GASTROINTESTINAL AGENTS,GALLSTONE SOLUBILIZING AGENTS,,,,,,,,,,,,,
a10129,CALCIUM IODIDE; CODEINE,2.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,
a10899,ESTRADIOL; ESTRIOL; ESTRONE,2.0,97.0,101.0,187.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,97.0,101.0,187.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,,,
a10900,ESTRADIOL; ESTRIOL,2.0,97.0,101.0,187.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,MISCELLANEOUS SEX HORMONES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,,,,
a11077,HYDROCHLOROTHIAZIDE; LABETALOL,2.0,40.0,55.0,472.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,275.0,40.0,49.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIHYPERTENSIVE COMBINATIONS,BETA BLOCKERS WITH THIAZIDES,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,
a11122,ACETAMINOPHEN; CHLORZOXAZONE,2.0,57.0,73.0,179.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,59.0,57.0,73.0,178.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,SKELETAL MUSCLE RELAXANT COMBINATIONS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,MISCELLANEOUS ANALGESICS,CENTRAL NERVOUS SYSTEM AGENTS,MUSCLE RELAXANTS,SKELETAL MUSCLE RELAXANTS,,,,,,,,,,,,
a11179,IODINATED GLYCEROL; THEOPHYLLINE,2.0,122.0,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,125.0,126.0,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
a11273,DEXTROMETHORPHAN; IODINATED GLYCEROL,2.0,122.0,132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,124.0,nan,122.0,128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,UPPER RESPIRATORY COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
a11284,ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE,2.0,97.0,101.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,97.0,101.0,185.0,115.0,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,HORMONES/HORMONE MODIFIERS,SEX HORMONES,PROGESTINS,NUTRITIONAL PRODUCTS,IRON PRODUCTS,,,,,,,,,,
a11457,CYANOCOBALAMIN; PYRIDOXINE; THIAMINE,2.0,115.0,119.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115.0,119.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NUTRITIONAL PRODUCTS,VITAMINS,,,,,,,,,,,NUTRITIONAL PRODUCTS,VITAMINS,,,,,,,,,,,,,,,,
